artist,album,date,week_num,meta_score,user_score
The Bug,London Zoo,"August 12, 2008",33,90,65
Plush,Fed,"August 25, 2008",35,89,75
TV on the Radio,"Dear Science,","September 23, 2008",39,88,89
Shugo Tokumaru,Exit,"September 2, 2008",36,88,87
Bon Iver,"For Emma, Forever Ago","February 19, 2008",8,88,89
Dennis Wilson,Pacific Ocean Blue [Reissue],"June 17, 2008",25,87,88
Fleet Foxes,Fleet Foxes,"June 3, 2008",23,87,88
Nick Cave & the Bad Seeds,Dig!!! Lazarus Dig!!!,"April 8, 2008",15,87,87
Hercules & Love Affair,Hercules And Love Affair,"June 24, 2008",26,86,71
Robyn,Robyn,"April 29, 2008",18,86,88
Steinski,What Does It All Mean? 1983-2006 Retrospective,"May 27, 2008",22,86,81
Randy Newman,Harps And Angels,"August 5, 2008",32,86,85
Protest the Hero,Fortress,"January 29, 2008",5,86,77
Bob Dylan,Tell Tale Signs: The Bootleg Series Vol. 8,"October 7, 2008",41,86,88
Shearwater,Rook,"June 3, 2008",23,85,87
Harvey Milk,Life...The Best Game In Town,"June 3, 2008",23,85,74
Portishead,Third,"April 29, 2008",18,85,84
The Hold Steady,Stay Positive,"July 15, 2008",29,85,78
Paavoharju,Laulu Laakson Kukista,"July 22, 2008",30,85,88
Fucked Up,Chemistry Of Common Life,"October 7, 2008",41,85,84
Titus Andronicus,The Airing Of Grievances,"May 13, 2008",20,85,82
Scarface,Emeritus,"December 2, 2008",49,85,85
Neil Young,Sugar Mountain: Live At Canterbury House 1968,"November 20, 2008",47,84,74
Black Milk,Tronic,"October 28, 2008",44,84,86
Lil Wayne,Tha Carter III,"June 10, 2008",24,84,72
Teddy Thompson,A Piece Of What You Need,"June 17, 2008",25,84,84
Sam Phillips,Don't Do Anything,"June 3, 2008",23,84,85
B.B. King,One Kind Favor,"August 26, 2008",35,83,81
Kasai Allstars,"In The 7th Moon, The Chief Turned Into A Swimming Fish And Ate The Head Of His Enemy By Magic","July 15, 2008",29,83,0
Alejandro Escovedo,Real Animal,"June 24, 2008",26,83,82
Abe Vigoda,Skeleton,"July 8, 2008",28,83,78
DJ/rupture,Uproot,"October 7, 2008",41,83,74
Erykah Badu,New Amerykah: Part One (4th World War),"February 26, 2008",9,83,86
Drive-By Truckers,Brighter Than Creation's Dark,"January 22, 2008",4,83,87
The Dodos,The Visiter,"March 18, 2008",12,83,87
Sugarland,Love On The Inside,"July 22, 2008",30,83,81
Raheem DeVaughn,Love Behind The Melody,"January 15, 2008",3,83,83
The Music Tapes,Music Tapes for Clouds & Tornadoes,"August 19, 2008",34,83,65
Ponytail,Ice Cream Spiritual,"June 17, 2008",25,82,69
Opeth,Watershed,"June 3, 2008",23,82,88
The Week That Was,The Week That Was,"August 26, 2008",35,82,87
Los Campesinos!,"We are Beautiful, We Are Doomed","November 25, 2008",48,82,83
Q-Tip,The Renaissance,"November 4, 2008",45,82,87
British Sea Power,Do You Like Rock Music?,"February 12, 2008",7,82,85
Marnie Stern,This Is It & I Am It & You Are It & So Is That & He Is It & She Is It & It Is It & That Is That,"October 7, 2008",41,82,82
James McMurtry,Just Us Kids,"April 15, 2008",16,82,86
Mount Eerie,Lost Wisdom,"October 7, 2008",41,82,82
Vampire Weekend,Vampire Weekend,"January 29, 2008",5,82,86
HEALTH,Health//Disco,"May 27, 2008",22,82,62
Elbow,The Seldom Seen Kid,"April 22, 2008",17,82,89
Grails,Doomsdayer's Holiday,"October 7, 2008",41,82,74
Lindstrøm,Where You Go I Go Too,"August 19, 2008",34,82,81
Bun B,II Trill,"May 20, 2008",21,82,82
Arthur Russell,Love Is Overtaking Me,"October 28, 2008",44,82,0
Al Green,Lay It Down,"May 27, 2008",22,81,85
The Fall,Imperial Wax Solvent,"April 28, 2008",18,81,80
Butch Walker,Sycamore Meadows,"November 11, 2008",46,81,87
Belle and Sebastian,The BBC Sessions,"November 18, 2008",47,81,86
High Places,03/07-09/07,"July 22, 2008",30,81,77
"Bonnie ""Prince"" Billy",Lie Down In The Light,"May 20, 2008",21,81,86
Flying Lotus,Los Angeles,"June 10, 2008",24,81,88
